wl,n,wl,k
0.4,3,0.4,2.5194
0.40939,3,0.40939,2.48531
0.41879,3,0.41879,2.45739
0.42818,3,0.42818,2.44187
0.43757,3,0.43757,2.44144
0.44696,3,0.44696,2.45499
0.45636,3,0.45636,2.47903
0.46575,3,0.46575,2.5099
0.47514,3,0.47514,2.5454
0.48454,3,0.48454,2.58601
0.49393,3,0.49393,2.63387
0.50332,3.00001,0.50332,2.68749
0.51271,3.00025,0.51271,2.74385
0.52211,3.00107,0.52211,2.79707
0.5315,3.00274,0.5315,2.83995
0.54089,3.00549,0.54089,2.86821
0.55029,3.00959,0.55029,2.88399
0.55968,3.01525,0.55968,2.89581
0.56907,3.02275,0.56907,2.91049
0.57846,3.03252,0.57846,2.92638
0.58786,3.04519,0.58786,2.93263
0.59725,3.06138,0.59725,2.91762
0.60664,3.0815,0.60664,2.8787
0.61604,3.10606,0.61604,2.82171
0.62543,3.13527,0.62543,2.75666
0.63482,3.16943,0.63482,2.6905
0.64421,3.20855,0.64421,2.62702
0.65361,3.25229,0.65361,2.5671
0.663,3.29996,0.663,2.50996
0.67239,3.35093,0.67239,2.45428
0.68178,3.40442,0.68178,2.39882
0.69118,3.45974,0.69118,2.34282
0.70057,3.51638,0.70057,2.28593
0.70996,3.57389,0.70996,2.22785
0.71936,3.63181,0.71936,2.16824
0.72875,3.68977,0.72875,2.10704
0.73814,3.7474,0.73814,2.04421
0.74753,3.80425,0.74753,1.97962
0.75693,3.85982,0.75693,1.91309
0.76632,3.91386,0.76632,1.84481
0.77571,3.9662,0.77571,1.77499
0.78511,4.01639,0.78511,1.70373
0.7945,4.06442,0.7945,1.63147
0.80389,4.11007,0.80389,1.55845
0.81328,4.153,0.81328,1.4849
0.82268,4.19324,0.82268,1.41102
0.83207,4.23044,0.83207,1.33702
0.84146,4.26445,0.84146,1.26301
0.85086,4.2945,0.85086,1.18875
0.86025,4.3185,0.86025,1.11347
0.86964,4.33525,0.86964,1.03617
0.87903,4.34281,0.87903,0.95579
0.88843,4.34187,0.88843,0.87262
0.89782,4.34027,0.89782,0.79025
0.90721,4.34332,0.90721,0.71148
0.9166,4.35094,0.9166,0.6369
