wl,n,wl,k
0.2066,1.336,0.2066,2.113
0.2101,1.301,0.2101,2.183
0.2138,1.299,0.2138,2.28
0.2175,1.325,0.2175,2.383
0.2214,1.375,0.2214,2.484
0.2254,1.426,0.2254,2.562
0.2296,1.455,0.2296,2.652
0.2339,1.482,0.2339,2.802
0.2384,1.558,0.2384,3.016
0.2431,1.745,0.2431,3.291
0.248,2.131,0.248,3.495
0.253,2.546,0.253,3.514
0.2583,2.984,0.2583,3.517
0.2638,3.56,0.2638,3.223
0.2695,3.8,0.2695,2.637
0.2755,3.697,0.2755,2.186
0.2818,3.527,0.2818,1.948
0.2883,3.384,0.2883,1.826
0.2952,3.275,0.2952,1.762
0.3024,3.196,0.3024,1.735
0.31,3.141,0.31,1.73
0.3179,3.108,0.3179,1.744
0.3263,3.095,0.3263,1.773
0.3351,3.103,0.3351,1.816
0.3444,3.133,0.3444,1.872
0.3542,3.193,0.3542,1.948
0.3647,3.299,0.3647,2.06
0.3757,3.576,0.3757,2.209
0.3875,3.976,0.3875,2.143
0.3999,4.415,0.3999,1.735
0.4133,4.395,0.4133,1.247
0.4275,4.256,0.4275,0.964
0.4428,4.121,0.4428,0.786
0.4592,4.004,0.4592,0.667
0.4769,3.903,0.4769,0.579
0.4959,3.818,0.4959,0.511
0.5166,3.745,0.5166,0.457
0.5391,3.682,0.5391,0.416
0.5636,3.629,0.5636,0.38
0.5904,3.585,0.5904,0.347
0.6199,3.549,0.6199,0.317
0.6525,3.517,0.6525,0.293
0.6888,3.492,0.6888,0.27
0.7293,3.476,0.7293,0.242
0.7749,3.467,0.7749,0.218
0.8266,3.456,0.8266,0.203
