wl,n,wl,k
0.017586,0.8996,0.017586,0.1556
0.017712,0.8961,0.017712,0.1579
0.017839,0.8927,0.017839,0.1608
0.017969,0.8883,0.017969,0.1644
0.0181,0.8829,0.0181,0.1688
0.018233,0.8765,0.018233,0.174
0.018368,0.8686,0.018368,0.1802
0.018505,0.8595,0.018505,0.1891
0.018644,0.8476,0.018644,0.2012
0.018785,0.8343,0.018785,0.2193
0.018929,0.8181,0.018929,0.2475
0.019074,0.8046,0.019074,0.2939
0.019222,0.8093,0.019222,0.3688
0.019373,0.8758,0.019373,0.4647
0.019525,1.0291,0.019525,0.4941
0.01968,1.1437,0.01968,0.3939
0.019837,1.1528,0.019837,0.288
0.019997,1.1258,0.019997,0.2287
0.02016,1.0979,0.02016,0.1986
0.020325,1.0758,0.020325,0.1827
0.020493,1.0584,0.020493,0.1738
0.020664,1.0447,0.020664,0.1685
0.020838,1.0337,0.020838,0.1659
0.021014,1.0252,0.021014,0.1644
0.021194,1.0176,0.021194,0.1631
0.021377,1.0117,0.021377,0.1631
0.021562,1.0063,0.021562,0.163
0.021752,1.0019,0.021752,0.1637
0.021944,0.9975,0.021944,0.1644
0.02214,0.9941,0.02214,0.165
0.022339,0.9907,0.022339,0.1655
0.022543,0.9878,0.022543,0.1665
0.022749,0.9849,0.022749,0.1675
0.02296,0.9825,0.02296,0.1684
0.023175,0.9802,0.023175,0.1699
0.023393,0.9779,0.023393,0.1713
0.023616,0.976,0.023616,0.1721
0.023843,0.9737,0.023843,0.1736
0.024075,0.9719,0.024075,0.1749
0.024311,0.9701,0.024311,0.1763
0.024551,0.9683,0.024551,0.1776
0.024797,0.9665,0.024797,0.179
0.025047,0.9647,0.025047,0.1809
0.025303,0.9629,0.025303,0.1823
0.025564,0.9612,0.025564,0.1841
0.02583,0.9594,0.02583,0.1855
0.026102,0.9577,0.026102,0.1874
0.02638,0.956,0.02638,0.1893
0.026663,0.9542,0.026663,0.1913
0.026953,0.9525,0.026953,0.1932
0.027249,0.9508,0.027249,0.1951
0.027552,0.9491,0.027552,0.197
0.027862,0.9474,0.027862,0.199
0.028178,0.9452,0.028178,0.201
0.028502,0.9435,0.028502,0.203
0.028834,0.9413,0.028834,0.205
0.029173,0.9391,0.029173,0.2071
0.02952,0.9369,0.02952,0.2092
0.029876,0.9348,0.029876,0.2118
0.03024,0.9326,0.03024,0.2139
0.030613,0.9299,0.030613,0.2162
0.030996,0.9267,0.030996,0.2185
0.031388,0.9241,0.031388,0.2213
0.031791,0.9204,0.031791,0.2238
0.032204,0.9172,0.032204,0.2262
0.032627,0.913,0.032627,0.2295
0.033062,0.9088,0.033062,0.2322
0.033509,0.9036,0.033509,0.2357
0.033968,0.8986,0.033968,0.2398
0.03444,0.8926,0.03444,0.2442
0.034925,0.8849,0.034925,0.2492
0.035424,0.8767,0.035424,0.2561
0.035937,0.8659,0.035937,0.2662
0.036466,0.8536,0.036466,0.2858
0.03701,0.8588,0.03701,0.3295
0.037571,0.921,0.037571,0.3198
0.038149,0.9047,0.038149,0.2835
0.038745,0.8831,0.038745,0.2808
0.03936,0.8672,0.03936,0.2865
0.039995,0.8537,0.039995,0.2946
0.040651,0.8421,0.040651,0.3052
0.041328,0.8303,0.041328,0.3168
0.042029,0.8199,0.042029,0.3305
0.042753,0.8095,0.042753,0.3453
0.043503,0.7997,0.043503,0.3626
0.04428,0.7916,0.04428,0.3815
0.045085,0.7841,0.045085,0.4023
0.04592,0.7784,0.04592,0.4253
0.046786,0.7748,0.046786,0.4498
0.047686,0.7743,0.047686,0.4759
0.048621,0.7771,0.048621,0.5019
0.049594,0.7829,0.049594,0.5282
0.050606,0.7922,0.050606,0.5529
0.05166,0.8041,0.05166,0.5758
0.052759,0.8178,0.052759,0.5949
0.053906,0.8312,0.053906,0.6106
0.055104,0.8437,0.055104,0.6228
0.056356,0.8532,0.056356,0.6324
0.057667,0.8592,0.057667,0.6413
0.05904,0.8608,0.05904,0.6511
0.06048,0.8592,0.06048,0.6634
0.061992,0.8553,0.061992,0.6793
0.063582,0.8505,0.063582,0.7002
0.065255,0.8466,0.065255,0.7258
0.067018,0.8447,0.067018,0.7559
0.06888,0.8462,0.06888,0.79
0.070848,0.8517,0.070848,0.8266
0.072932,0.8623,0.072932,0.8652
0.075142,0.8777,0.075142,0.9041
0.07749,0.8983,0.07749,0.9423
0.07999,0.9231,0.07999,0.9783
0.082656,0.9517,0.082656,1.0108
0.085506,0.9826,0.085506,1.039
0.08856,1.014,0.08856,1.0626
0.09184,1.0441,0.09184,1.0808
0.095372,1.0702,0.095372,1.0951
0.099187,1.0909,0.099187,1.1064
0.10332,1.1034,0.10332,1.1174
0.107812,1.1072,0.107812,1.1313
0.112713,1.1019,0.112713,1.1525
0.11808,1.0893,0.11808,1.1847
0.123984,1.0723,0.123984,1.2328
0.13051,1.0568,0.13051,1.3007
0.13776,1.0513,0.13776,1.3893
0.145864,1.0687,0.145864,1.4934
0.15498,1.1173,0.15498,1.5901
0.165312,1.1659,0.165312,1.649
0.17712,1.1608,0.17712,1.7048
0.190745,1.1244,0.190745,1.8183
0.20664,1.0981,0.20664,1.9957
0.225426,1.1021,0.225426,2.2335
0.247968,1.1658,0.247968,2.5377
0.261019,1.2409,0.261019,2.7109
0.27552,1.3623,0.27552,2.8823
0.291728,1.5359,0.291728,3.0174
0.30996,1.7308,0.30996,3.0636
0.330625,1.8491,0.330625,3.0017
0.354241,1.7887,0.354241,2.9265
0.38149,1.5692,0.38149,2.9942
0.413281,1.3147,0.413281,3.2825
0.450852,1.1294,0.450852,3.7654
0.495937,1.0475,0.495937,4.4014
0.551041,1.0758,0.551041,5.1912
0.619921,1.2401,0.619921,6.1846
0.708481,1.6301,0.708481,7.488
0.826561,2.5232,0.826561,9.2866
0.991874,4.8909,0.991874,11.6849
1.239842,10.8285,1.239842,11.8415
1.653123,12.4317,1.653123,5.895
2.479684,7.1193,2.479684,4.0993
