wl,n,wl,k
0.2,0.78,0.2,1.85
0.2066,0.76,0.2066,1.93
0.2138,0.79,0.2138,2
0.2214,0.9,0.2214,2.01
0.2296,0.8,0.2296,2.14
0.2384,0.79,0.2384,2.23
0.248,0.79,0.248,2.34
0.253,0.79,0.253,2.39
0.2583,0.79,0.2583,2.46
0.2638,0.79,0.2638,2.52
0.2695,0.78,0.2695,2.6
0.2755,0.79,0.2755,2.68
0.2818,0.8,0.2818,2.76
0.2883,0.83,0.2883,2.85
0.2952,0.84,0.2952,2.94
0.3024,0.84,0.3024,3.03
0.31,0.86,0.31,3.12
0.3179,0.88,0.3179,3.23
0.3263,0.91,0.3263,3.34
0.3351,0.95,0.3351,3.45
0.3444,0.99,0.3444,3.58
0.3542,1.04,0.3542,3.71
0.3647,1.11,0.3647,3.84
0.3757,1.2,0.3757,3.97
0.3875,1.3,0.3875,4.09
0.4,1.41,0.4,4.2
0.4133,1.53,0.4133,4.29
0.4275,1.63,0.4275,4.36
0.4592,1.8,0.4592,4.49
0.4769,1.85,0.4769,4.55
0.4959,1.88,0.4959,4.65
0.5166,1.9,0.5166,4.78
0.5391,1.94,0.5391,4.94
0.5636,2,0.5636,5.11
0.5904,2.05,0.5904,5.3
0.6199,2.12,0.6199,5.51
0.6526,2.2,0.6526,5.76
0.6888,2.3,0.6888,6.02
0.7293,2.42,0.7293,6.33
0.7749,2.6,0.7749,6.64
0.8266,2.78,0.8266,6.97
0.8856,3.01,0.8856,7.31
0.9537,3.26,0.9537,7.63
0.9919,3.38,0.9919,7.8
1.033,3.51,1.033,7.94
1.078,3.6,1.078,8.09
1.127,3.67,1.127,8.26
1.181,3.72,1.181,8.44
1.24,3.71,1.24,8.67
1.305,3.69,1.305,8.94
1.378,3.62,1.378,9.36
1.459,3.64,1.459,9.81
1.55,3.63,1.55,10.3
1.653,3.63,1.653,11
1.771,3.67,1.771,11.7
1.907,3.77,1.907,12.6
2.066,3.87,2.066,13.5
2.254,3.97,2.254,14.7
2.48,4.2,2.48,16.1
2.755,4.45,2.755,17.7
3.1,4.74,3.1,19.8
3.542,5.22,3.542,22.4
4.133,5.85,4.133,25.9
4.959,7.01,4.959,30.7
6.199,8.66,6.199,37.5
8.266,11.5,8.266,48.6
12.4,18.5,12.4,69.4
