wl,n,wl,k
0.21073,1.708805,0.21073,1.639257
0.21231,1.723351,0.21231,1.642573
0.21389,1.737947,0.21389,1.645703
0.21547,1.752574,0.21547,1.648621
0.21705,1.767212,0.21705,1.651306
0.21863,1.781841,0.21863,1.653741
0.22021,1.796442,0.22021,1.655912
0.22179,1.810995,0.22179,1.65781
0.22337,1.825481,0.22337,1.659428
0.22495,1.839879,0.22495,1.660762
0.22652,1.854174,0.22652,1.661811
0.2281,1.868346,0.2281,1.662577
0.22968,1.882378,0.22968,1.663062
0.23126,1.896257,0.23126,1.663272
0.23284,1.909966,0.23284,1.663212
0.23442,1.923492,0.23442,1.662892
0.23601,1.936823,0.23601,1.66232
0.23759,1.949947,0.23759,1.661508
0.23917,1.962855,0.23917,1.660467
0.24075,1.975538,0.24075,1.659209
0.24233,1.987988,0.24233,1.657747
0.24391,2.000199,0.24391,1.656095
0.24549,2.012167,0.24549,1.654267
0.24707,2.023887,0.24707,1.652277
0.24865,2.035357,0.24865,1.650139
0.25023,2.046576,0.25023,1.647867
0.25181,2.057544,0.25181,1.645476
0.25339,2.068261,0.25339,1.642981
0.25497,2.07873,0.25497,1.640394
0.25656,2.088955,0.25656,1.637729
0.25814,2.098938,0.25814,1.635
0.25972,2.108686,0.25972,1.632218
0.2613,2.118204,0.2613,1.629396
0.26288,2.127499,0.26288,1.626545
0.26446,2.136579,0.26446,1.623676
0.26604,2.145451,0.26604,1.620798
0.26763,2.154126,0.26763,1.617919
0.26921,2.162613,0.26921,1.615049
0.27079,2.17092,0.27079,1.612195
0.27237,2.17906,0.27237,1.609362
0.27395,2.187042,0.27395,1.606556
0.27554,2.194877,0.27554,1.60378
0.27712,2.202576,0.27712,1.601039
0.2787,2.210151,0.2787,1.598335
0.28028,2.217613,0.28028,1.595667
0.28187,2.224972,0.28187,1.593038
0.28345,2.232239,0.28345,1.590445
0.28503,2.239425,0.28503,1.587887
0.28661,2.24654,0.28661,1.585361
0.2882,2.253593,0.2882,1.582863
0.28978,2.260594,0.28978,1.580388
0.29136,2.26755,0.29136,1.577931
0.29294,2.27447,0.29294,1.575487
0.29453,2.28136,0.29453,1.573046
0.29611,2.288226,0.29611,1.570603
0.29769,2.295075,0.29769,1.568148
0.29927,2.301908,0.29927,1.565674
0.30086,2.308731,0.30086,1.56317
0.30244,2.315544,0.30244,1.560628
0.30402,2.322349,0.30402,1.558038
0.30561,2.329145,0.30561,1.555391
0.30719,2.335931,0.30719,1.552677
0.30877,2.342705,0.30877,1.549887
0.31036,2.349464,0.31036,1.547012
0.31194,2.356202,0.31194,1.544043
0.31352,2.362914,0.31352,1.540973
0.31511,2.369595,0.31511,1.537793
0.31669,2.376235,0.31669,1.534498
0.31828,2.382828,0.31828,1.531082
0.31986,2.389364,0.31986,1.527538
0.32144,2.395834,0.32144,1.523864
0.32303,2.402228,0.32303,1.520057
0.32461,2.408536,0.32461,1.516115
0.32619,2.414746,0.32619,1.512036
0.32778,2.420849,0.32778,1.507822
0.32936,2.426833,0.32936,1.503474
0.33095,2.432687,0.33095,1.498995
0.33253,2.438402,0.33253,1.494389
0.33412,2.443967,0.33412,1.489661
0.3357,2.449372,0.3357,1.484816
