wl,n,wl,k
0.3,1.619,0.3,0.591
0.301,1.612,0.301,0.558
0.302,1.602,0.302,0.523
0.303,1.59,0.303,0.487
0.304,1.574,0.304,0.45
0.305,1.554,0.305,0.413
0.306,1.53,0.306,0.375
0.307,1.502,0.307,0.337
0.308,1.469,0.308,0.3
0.309,1.432,0.309,0.264
0.31,1.389,0.31,0.231
0.311,1.342,0.311,0.202
0.312,1.29,0.312,0.177
0.313,1.234,0.313,0.158
0.314,1.176,0.314,0.146
0.315,1.117,0.315,0.143
0.316,1.065,0.316,0.149
0.317,1.018,0.317,0.155
0.318,0.974,0.318,0.161
0.319,0.932,0.319,0.167
0.32,0.89,0.32,0.174
0.321,0.849,0.321,0.182
0.322,0.808,0.322,0.19
0.323,0.767,0.323,0.2
0.324,0.726,0.324,0.21
0.325,0.684,0.325,0.222
0.326,0.642,0.326,0.235
0.327,0.6,0.327,0.25
0.328,0.557,0.328,0.268
0.329,0.514,0.329,0.289
0.33,0.472,0.33,0.313
0.331,0.431,0.331,0.342
0.332,0.392,0.332,0.373
0.333,0.357,0.333,0.408
0.334,0.326,0.334,0.445
0.335,0.299,0.335,0.483
0.336,0.276,0.336,0.521
0.337,0.256,0.337,0.558
0.338,0.239,0.338,0.594
0.339,0.225,0.339,0.63
0.34,0.212,0.34,0.663
0.341,0.201,0.341,0.696
0.342,0.191,0.342,0.727
0.343,0.183,0.343,0.758
0.344,0.175,0.344,0.787
0.345,0.168,0.345,0.815
0.346,0.162,0.346,0.842
0.347,0.156,0.347,0.868
0.348,0.151,0.348,0.894
0.349,0.146,0.349,0.919
0.35,0.142,0.35,0.943
0.351,0.138,0.351,0.966
0.352,0.134,0.352,0.989
0.353,0.13,0.353,1.011
0.354,0.127,0.354,1.033
0.355,0.124,0.355,1.054
0.356,0.121,0.356,1.075
0.357,0.118,0.357,1.096
0.358,0.115,0.358,1.116
0.359,0.113,0.359,1.135
0.36,0.111,0.36,1.154
0.361,0.108,0.361,1.173
0.362,0.106,0.362,1.192
0.363,0.104,0.363,1.21
0.364,0.102,0.364,1.228
0.365,0.1,0.365,1.246
0.366,0.098,0.366,1.263
0.367,0.097,0.367,1.281
0.368,0.095,0.368,1.298
0.369,0.093,0.369,1.314
0.37,0.092,0.37,1.331
0.371,0.09,0.371,1.347
0.372,0.089,0.372,1.363
0.373,0.088,0.373,1.379
0.374,0.086,0.374,1.395
0.375,0.085,0.375,1.411
0.376,0.084,0.376,1.426
0.377,0.083,0.377,1.441
0.378,0.081,0.378,1.456
0.379,0.08,0.379,1.471
0.38,0.079,0.38,1.486
0.381,0.078,0.381,1.501
0.382,0.077,0.382,1.515
0.383,0.076,0.383,1.53
0.384,0.075,0.384,1.544
0.385,0.074,0.385,1.558
0.386,0.074,0.386,1.572
0.387,0.073,0.387,1.586
0.388,0.072,0.388,1.599
0.389,0.071,0.389,1.613
0.39,0.07,0.39,1.627
0.391,0.07,0.391,1.64
0.392,0.069,0.392,1.654
0.393,0.068,0.393,1.667
0.394,0.067,0.394,1.68
0.395,0.067,0.395,1.693
0.396,0.066,0.396,1.706
0.397,0.065,0.397,1.719
0.398,0.065,0.398,1.732
0.399,0.064,0.399,1.744
0.4,0.064,0.4,1.757
0.401,0.063,0.401,1.77
0.402,0.063,0.402,1.782
0.403,0.062,0.403,1.795
0.404,0.062,0.404,1.807
0.405,0.061,0.405,1.819
0.406,0.061,0.406,1.831
0.407,0.06,0.407,1.844
0.408,0.06,0.408,1.856
0.409,0.059,0.409,1.868
0.41,0.059,0.41,1.88
0.411,0.058,0.411,1.892
0.412,0.058,0.412,1.903
0.413,0.057,0.413,1.915
0.414,0.057,0.414,1.927
0.415,0.057,0.415,1.939
0.416,0.056,0.416,1.95
0.417,0.056,0.417,1.962
0.418,0.056,0.418,1.973
0.419,0.055,0.419,1.985
0.42,0.055,0.42,1.996
0.421,0.055,0.421,2.007
0.422,0.054,0.422,2.019
0.423,0.054,0.423,2.03
0.424,0.054,0.424,2.041
0.425,0.053,0.425,2.052
0.426,0.053,0.426,2.064
0.427,0.053,0.427,2.075
0.428,0.053,0.428,2.086
0.429,0.052,0.429,2.097
