wl,n,wl,k
0.2621,0.98114,0.2621,2.57466
0.26316,1,0.26316,2.55002
0.26423,1.01749,0.26423,2.54099
0.26531,1.03304,0.26531,2.54478
0.26639,1.04606,0.26639,2.55843
0.26749,1.05593,0.26749,2.57886
0.26859,1.06154,0.26859,2.60457
0.26971,1.05387,0.26971,2.61649
0.27083,1.05907,0.27083,2.64364
0.27197,1.06297,0.27197,2.65568
0.27311,1.06442,0.27311,2.67726
0.27426,1.06872,0.27426,2.6906
0.27542,1.08049,0.27542,2.71162
0.27659,1.07908,0.27659,2.72693
0.27778,1.08183,0.27778,2.74282
0.27897,1.08,0.27897,2.75465
0.28017,1.0847,0.28017,2.76303
0.28138,1.08717,0.28138,2.78108
0.28261,1.0955,0.28261,2.7939
0.28384,1.10358,0.28384,2.80185
0.28509,1.11383,0.28509,2.81628
0.28634,1.12407,0.28634,2.83233
0.28761,1.12786,0.28761,2.85487
0.28889,1.13354,0.28889,2.87529
0.29018,1.13725,0.29018,2.89334
0.29148,1.14423,0.29148,2.91197
0.29279,1.15112,0.29279,2.93197
0.29412,1.16114,0.29412,2.94914
0.29545,1.17034,0.29545,2.96506
0.2968,1.17965,0.2968,2.98303
0.29816,1.1892,0.29816,3.00151
0.29954,1.19684,0.29954,3.02055
0.30092,1.20495,0.30092,3.03764
0.30232,1.21222,0.30232,3.05376
0.30374,1.21962,0.30374,3.06962
0.30516,1.22842,0.30516,3.08628
0.3066,1.23817,0.3066,3.10378
0.30806,1.24801,0.30806,3.121
0.30952,1.25795,0.30952,3.13868
0.311,1.26794,0.311,3.15669
0.3125,1.2779,0.3125,3.17383
0.31401,1.28782,0.31401,3.19137
0.31553,1.29729,0.31553,3.20823
0.31707,1.30744,0.31707,3.2261
0.31863,1.31904,0.31863,3.2441
0.3202,1.33078,0.3202,3.26243
0.32178,1.34295,0.32178,3.28039
0.32338,1.35529,0.32338,3.29807
0.325,1.36795,0.325,3.31688
0.32663,1.3815,0.32663,3.33555
0.32828,1.39441,0.32828,3.35405
0.32995,1.40864,0.32995,3.37232
0.33163,1.42227,0.33163,3.39058
0.33333,1.43525,0.33333,3.40755
0.33505,1.44838,0.33505,3.42395
0.33679,1.46156,0.33679,3.44005
0.33854,1.47497,0.33854,3.4558
0.34031,1.48923,0.34031,3.47227
0.3421,1.50395,0.3421,3.48904
0.34391,1.51895,0.34391,3.50554
0.34574,1.53511,0.34574,3.52254
0.34759,1.55064,0.34759,3.5386
0.34946,1.56529,0.34946,3.55456
0.35135,1.58148,0.35135,3.57017
0.35326,1.59639,0.35326,3.58533
0.35519,1.61089,0.35519,3.60069
0.35714,1.62548,0.35714,3.61627
0.35911,1.64074,0.35911,3.63248
0.36111,1.65529,0.36111,3.64766
0.36313,1.66994,0.36313,3.66373
0.36517,1.68641,0.36517,3.6806
0.36723,1.7015,0.36723,3.69712
0.36932,1.71765,0.36932,3.71347
0.37143,1.73299,0.37143,3.73005
0.37356,1.74603,0.37356,3.74612
0.37572,1.75978,0.37572,3.76265
0.37791,1.774,0.37791,3.78007
0.38012,1.78706,0.38012,3.79736
0.38235,1.80094,0.38235,3.81624
0.38461,1.8157,0.38461,3.83605
0.3869,1.82869,0.3869,3.85523
0.38922,1.84229,0.38922,3.87545
0.39156,1.85594,0.39156,3.89617
0.39394,1.86928,0.39394,3.91768
0.39634,1.88367,0.39634,3.9395
0.39877,1.8978,0.39877,3.96196
0.40123,1.91272,0.40123,3.98521
0.40373,1.92788,0.40373,4.0092
0.40625,1.94437,0.40625,4.03448
0.4088,1.96202,0.4088,4.06022
0.41139,1.98055,0.41139,4.08669
0.41401,2.00028,0.41401,4.11351
0.41667,2.02013,0.41667,4.14079
0.41935,2.04207,0.41935,4.16835
0.42208,2.06418,0.42208,4.19602
0.42484,2.08693,0.42484,4.22369
0.42763,2.11084,0.42763,4.25202
0.43046,2.13667,0.43046,4.28074
0.43333,2.1626,0.43333,4.30901
0.43624,2.19086,0.43624,4.33834
0.43919,2.22054,0.43919,4.36776
0.44218,2.25094,0.44218,4.39697
0.4452,2.28169,0.4452,4.42599
0.44827,2.31453,0.44827,4.45482
0.45139,2.3484,0.45139,4.48387
0.45454,2.38376,0.45454,4.51236
0.45774,2.42009,0.45774,4.5398
0.46099,2.45686,0.46099,4.56682
0.46428,2.49507,0.46428,4.5936
0.46762,2.5329,0.46762,4.61878
0.47101,2.57249,0.47101,4.64414
0.47445,2.61477,0.47445,4.6688
0.47794,2.6601,0.47794,4.69287
0.48148,2.70669,0.48148,4.71663
