wl,n,wl,k
0.3,1.347459987,0.3,1.679419071
0.31,1.321473211,0.31,1.740141215
0.32,1.301896917,0.32,1.781554261
0.33,1.278815346,0.33,1.816251273
0.34,1.257856058,0.34,1.857525737
0.35,1.229714372,0.35,1.895968733
0.36,1.205793784,0.36,1.941169403
0.37,1.183134074,0.37,1.99326522
0.38,1.16577487,0.38,2.046321345
0.39,1.139929606,0.39,2.090129064
0.4,1.119339006,0.4,2.14224644
0.41,1.097661459,0.41,2.193481406
0.42,1.082884327,0.42,2.251163803
0.43,1.067185209,0.43,2.306769228
0.44,1.056310845,0.44,2.361946782
0.45,1.048210496,0.45,2.413637347
0.46,1.044058354,0.46,2.464134299
0.47,1.040826414,0.47,2.50896784
0.48,1.040383818,0.48,2.549587906
0.49,1.035622719,0.49,2.577676166
0.5,1.0292166,0.5,2.600958825
0.51,1.01596237,0.51,2.610628188
0.52,0.995463808,0.52,2.613856957
0.53,0.957525814,0.53,2.60358516
0.54,0.896412084,0.54,2.584135179
0.55,0.79745994,0.55,2.56420404
0.56,0.649913539,0.56,2.566649101
0.57,0.467667795,0.57,2.633707115
0.58,0.308052581,0.58,2.774526337
0.59,0.206477543,0.59,2.953105649
0.6,0.15342929,0.6,3.124794481
0.61,0.129738592,0.61,3.28082796
0.62,0.116677068,0.62,3.422223479
0.63,0.110069919,0.63,3.546563885
0.64,0.107194012,0.64,3.666809315
0.65,0.104232496,0.65,3.775693898
0.66,0.102539467,0.66,3.879628119
0.67,0.102449402,0.67,3.981770445
0.68,0.101216009,0.68,4.082308744
0.69,0.101603953,0.69,4.175083635
0.7,0.101236908,0.7,4.27062629
0.71,0.101557633,0.71,4.365353818
0.72,0.101132194,0.72,4.453675754
0.73,0.100848965,0.73,4.541494304
0.74,0.100919789,0.74,4.632837662
0.75,0.101173963,0.75,4.718605321
0.76,0.101837799,0.76,4.806908667
0.77,0.101672055,0.77,4.890330992
0.78,0.104166566,0.78,4.985764803
0.79,0.10154611,0.79,5.058785587
0.8,0.105089997,0.8,5.141307607
0.81,0.105640925,0.81,5.225721003
0.82,0.1047717,0.82,5.314412207
0.83,0.108065424,0.83,5.399044187
0.84,0.106329275,0.84,5.471682183
0.85,0.106803015,0.85,5.558363688
0.86,0.10806138,0.86,5.64355183
0.87,0.109423947,0.87,5.718126756
0.88,0.109226995,0.88,5.799390531
0.89,0.110739052,0.89,5.87326682
0.9,0.111474071,0.9,5.957887752
0.91,0.110565481,0.91,6.04212088
0.92,0.114354773,0.92,6.114742596
0.93,0.115741932,0.93,6.194384247
0.94,0.116243076,0.94,6.272201563
0.95,0.11651561,0.95,6.352367739
0.96,0.117227546,0.96,6.433641449
0.97,0.117612103,0.97,6.506983372
0.98,0.1200286,0.98,6.588429772
0.99,0.120693135,0.99,6.665250695
1,0.123314675,1,6.744939326
1.01,0.123500553,1.01,6.819402641
1.02,0.12589253,1.02,6.894769679
1.03,0.126656415,1.03,6.97753838
1.04,0.125456304,1.04,7.048669327
1.05,0.127879983,1.05,7.128558991
1.06,0.123044899,1.06,7.21443969
1.07,0.124058562,1.07,7.290911502
1.08,0.12724857,1.08,7.368255709
1.09,0.126108804,1.09,7.447140621
1.1,0.127049082,1.1,7.525831613
1.11,0.127924195,1.11,7.605285307
1.12,0.12687364,1.12,7.67574732
1.13,0.129233188,1.13,7.744914539
1.14,0.126930498,1.14,7.827905937
1.15,0.128135739,1.15,7.904898403
1.16,0.131236652,1.16,7.984812024
1.17,0.130534766,1.17,8.061453921
1.18,0.132958217,1.18,8.142031558
1.19,0.134086968,1.19,8.211088802
1.2,0.132204904,1.2,8.276924437
1.21,0.131954806,1.21,8.369911115
1.22,0.134536782,1.22,8.444530783
1.23,0.132059034,1.23,8.511723656
1.24,0.135380438,1.24,8.594668572
1.25,0.140947312,1.25,8.661747292
1.26,0.145305612,1.26,8.740887468
1.27,0.142654978,1.27,8.812170586
1.28,0.145808605,1.28,8.885620977
1.29,0.143636497,1.29,8.96290307
1.3,0.14357746,1.3,9.049122305
1.31,0.14815507,1.31,9.118823933
1.32,0.146774504,1.32,9.199486005
1.33,0.153662011,1.33,9.262861977
1.34,0.14795299,1.34,9.342156608
1.35,0.156618782,1.35,9.420006871
1.36,0.153286699,1.36,9.497236272
1.37,0.158020584,1.37,9.563627476
1.38,0.159435601,1.38,9.624262035
1.39,0.164929309,1.39,9.719012382
1.4,0.160903598,1.4,9.787537482
1.41,0.165878545,1.41,9.863240628
1.42,0.170083525,1.42,9.953638953
1.43,0.170430805,1.43,10.01843534
1.44,0.177719488,1.44,10.07430316
1.45,0.176808354,1.45,10.15732549
1.46,0.174975159,1.46,10.25088368
1.47,0.184898936,1.47,10.3234775
1.48,0.189874398,1.48,10.3863397
1.49,0.180372997,1.49,10.47246554
1.5,0.182478591,1.5,10.53438648
1.51,0.18486728,1.51,10.60679857
1.52,0.190872505,1.52,10.67597454
1.53,0.190985335,1.53,10.74925464
1.54,0.1989454,1.54,10.8263373
1.55,0.194332409,1.55,10.92097821
1.56,0.198165888,1.56,10.97767142
1.57,0.192594699,1.57,11.04885029
1.58,0.207420155,1.58,11.16839394
1.59,0.204793341,1.59,11.20544244
1.6,0.209186703,1.6,11.29087061
1.61,0.213365941,1.61,11.36334128
1.62,0.217596043,1.62,11.4432228
1.63,0.226803672,1.63,11.53045706
1.64,0.225634749,1.64,11.58753257
1.65,0.219982349,1.65,11.65025288
1.66,0.238848652,1.66,11.72164872
1.67,0.243445023,1.67,11.80081631
1.68,0.226005004,1.68,11.89332074
1.69,0.26002749,1.69,11.92047039
1.7,0.255894846,1.7,12.02603352
