wl,n,wl,k
0.017586,0.8555,0.017586,0.1262
0.017712,0.8552,0.017712,0.1316
0.017839,0.8543,0.017839,0.137
0.017969,0.8546,0.017969,0.1428
0.0181,0.8545,0.0181,0.1486
0.018233,0.8555,0.018233,0.1543
0.018368,0.8566,0.018368,0.1605
0.018505,0.8582,0.018505,0.166
0.018644,0.8605,0.018644,0.1714
0.018785,0.8633,0.018785,0.1767
0.018929,0.8666,0.018929,0.1817
0.019074,0.8704,0.019074,0.1861
0.019222,0.8741,0.019222,0.1899
0.019373,0.8775,0.019373,0.1926
0.019525,0.8815,0.019525,0.1951
0.01968,0.8847,0.01968,0.1967
0.019837,0.8877,0.019837,0.1977
0.019997,0.89,0.019997,0.1978
0.02016,0.8916,0.02016,0.1974
0.020325,0.8916,0.020325,0.1974
0.020493,0.8908,0.020493,0.1964
0.020664,0.8885,0.020664,0.1958
0.020838,0.8846,0.020838,0.1961
0.021014,0.8784,0.021014,0.1964
0.021194,0.8704,0.021194,0.1988
0.021377,0.8596,0.021377,0.2024
0.021562,0.8466,0.021562,0.2091
0.021752,0.8303,0.021752,0.2198
0.021944,0.81,0.021944,0.237
0.02214,0.7867,0.02214,0.2644
0.022339,0.7617,0.022339,0.3085
0.022543,0.7433,0.022543,0.3787
0.022749,0.7524,0.022749,0.4838
0.02296,0.8287,0.02296,0.6106
0.023175,1.0068,0.023175,0.6948
0.023393,1.222,0.023393,0.6326
0.023616,1.3227,0.023616,0.4642
0.023843,1.3147,0.023843,0.3263
0.024075,1.2744,0.024075,0.2432
0.024311,1.2334,0.024311,0.1954
0.024551,1.1982,0.024551,0.1665
0.024797,1.1692,0.024797,0.1484
0.025047,1.1452,0.025047,0.1362
0.025303,1.1253,0.025303,0.128
0.025564,1.1081,0.025564,0.1218
0.02583,1.0936,0.02583,0.118
0.026102,1.0804,0.026102,0.1148
0.02638,1.0685,0.02638,0.1128
0.026663,1.058,0.026663,0.1111
0.026953,1.0484,0.026953,0.1102
0.027249,1.0397,0.027249,0.1092
0.027552,1.0315,0.027552,0.1091
0.027862,1.0237,0.027862,0.1089
0.028178,1.0158,0.028178,0.1093
0.028502,1.009,0.028502,0.1095
0.028834,1.0021,0.028834,0.1103
0.029173,0.9957,0.029173,0.1115
0.02952,0.9887,0.02952,0.1123
0.029876,0.9828,0.029876,0.1135
0.03024,0.9764,0.03024,0.1152
0.030613,0.9703,0.030613,0.1165
0.030996,0.9644,0.030996,0.1182
0.031388,0.9578,0.031388,0.1201
0.031791,0.9518,0.031791,0.1224
0.032204,0.9458,0.032204,0.1248
0.032627,0.9398,0.032627,0.1272
0.033062,0.9337,0.033062,0.1296
0.033509,0.9271,0.033509,0.1327
0.033968,0.9211,0.033968,0.1357
0.03444,0.9145,0.03444,0.1389
0.034925,0.9079,0.034925,0.1426
0.035424,0.9008,0.035424,0.1465
0.035937,0.8937,0.035937,0.1505
0.036466,0.8866,0.036466,0.1551
0.03701,0.8795,0.03701,0.1597
0.037571,0.8718,0.037571,0.1646
0.038149,0.8643,0.038149,0.1701
0.038745,0.8562,0.038745,0.1764
0.03936,0.8476,0.03936,0.1829
0.039995,0.8391,0.039995,0.1901
0.040651,0.8301,0.040651,0.1976
