wl,n,wl,k
0.26049,3.43E+00,0.26049,3.70E+00
0.26159,3.50E+00,0.26159,3.64E+00
0.2627,3.55E+00,0.2627,3.58E+00
0.26381,3.61E+00,0.26381,3.51E+00
0.26494,3.65E+00,0.26494,3.45E+00
0.26608,3.70E+00,0.26608,3.39E+00
0.26723,3.74E+00,0.26723,3.33E+00
0.26838,3.77E+00,0.26838,3.27E+00
0.26955,3.81E+00,0.26955,3.21E+00
0.27073,3.85E+00,0.27073,3.16E+00
0.27191,3.89E+00,0.27191,3.10E+00
0.27311,3.93E+00,0.27311,3.03E+00
0.27432,3.96E+00,0.27432,2.96E+00
0.27554,3.99E+00,0.27554,2.89E+00
0.27677,4.01E+00,0.27677,2.81E+00
0.27801,4.02E+00,0.27801,2.74E+00
0.27926,4.03E+00,0.27926,2.66E+00
0.28053,4.02E+00,0.28053,2.59E+00
0.2818,4.02E+00,0.2818,2.52E+00
0.28309,4.00E+00,0.28309,2.46E+00
0.28439,3.99E+00,0.28439,2.40E+00
0.2857,3.97E+00,0.2857,2.34E+00
0.28702,3.95E+00,0.28702,2.29E+00
0.28835,3.93E+00,0.28835,2.24E+00
0.2897,3.90E+00,0.2897,2.20E+00
0.29106,3.88E+00,0.29106,2.16E+00
0.29244,3.85E+00,0.29244,2.13E+00
0.29382,3.83E+00,0.29382,2.10E+00
0.29522,3.80E+00,0.29522,2.07E+00
0.29663,3.78E+00,0.29663,2.05E+00
0.29806,3.76E+00,0.29806,2.03E+00
0.2995,3.73E+00,0.2995,2.01E+00
0.30095,3.71E+00,0.30095,1.99E+00
0.30242,3.70E+00,0.30242,1.98E+00
0.3039,3.68E+00,0.3039,1.97E+00
0.3054,3.66E+00,0.3054,1.96E+00
0.30691,3.64E+00,0.30691,1.95E+00
0.30844,3.63E+00,0.30844,1.94E+00
0.30998,3.61E+00,0.30998,1.93E+00
0.31154,3.60E+00,0.31154,1.93E+00
0.31311,3.59E+00,0.31311,1.92E+00
0.3147,3.58E+00,0.3147,1.92E+00
0.31631,3.57E+00,0.31631,1.92E+00
0.31793,3.56E+00,0.31793,1.92E+00
0.31957,3.55E+00,0.31957,1.92E+00
0.32122,3.54E+00,0.32122,1.92E+00
0.3229,3.54E+00,0.3229,1.92E+00
0.32459,3.53E+00,0.32459,1.92E+00
0.3263,3.53E+00,0.3263,1.92E+00
0.32802,3.52E+00,0.32802,1.92E+00
0.32977,3.52E+00,0.32977,1.93E+00
0.33153,3.52E+00,0.33153,1.93E+00
0.33331,3.52E+00,0.33331,1.94E+00
0.33512,3.52E+00,0.33512,1.94E+00
0.33694,3.52E+00,0.33694,1.95E+00
0.33878,3.52E+00,0.33878,1.95E+00
0.34064,3.53E+00,0.34064,1.96E+00
0.34252,3.53E+00,0.34252,1.97E+00
0.34442,3.54E+00,0.34442,1.98E+00
0.34635,3.54E+00,0.34635,1.98E+00
0.34829,3.55E+00,0.34829,1.99E+00
0.35026,3.56E+00,0.35026,2.00E+00
0.35225,3.57E+00,0.35225,2.01E+00
0.35426,3.58E+00,0.35426,2.03E+00
0.3563,3.60E+00,0.3563,2.04E+00
0.35836,3.61E+00,0.35836,2.05E+00
0.36044,3.63E+00,0.36044,2.06E+00
0.36255,3.64E+00,0.36255,2.07E+00
0.36468,3.66E+00,0.36468,2.08E+00
0.36684,3.69E+00,0.36684,2.10E+00
0.36903,3.71E+00,0.36903,2.11E+00
0.37124,3.74E+00,0.37124,2.12E+00
0.37347,3.78E+00,0.37347,2.14E+00
0.37574,3.82E+00,0.37574,2.16E+00
0.37803,3.87E+00,0.37803,2.18E+00
0.38035,3.93E+00,0.38035,2.20E+00
0.38269,4.00E+00,0.38269,2.22E+00
0.38507,4.09E+00,0.38507,2.24E+00
0.38748,4.18E+00,0.38748,2.27E+00
0.38991,4.26E+00,0.38991,2.29E+00
0.39238,4.33E+00,0.39238,2.31E+00
0.39488,4.38E+00,0.39488,2.31E+00
0.39741,4.41E+00,0.39741,2.28E+00
0.39998,4.44E+00,0.39998,2.24E+00
0.40257,4.47E+00,0.40257,2.18E+00
0.4052,4.50E+00,0.4052,2.12E+00
0.40787,4.54E+00,0.40787,2.07E+00
0.41057,4.62E+00,0.41057,2.03E+00
0.41331,4.72E+00,0.41331,2.00E+00
0.41608,4.85E+00,0.41608,1.98E+00
0.41889,4.96E+00,0.41889,1.97E+00
0.42174,5.02E+00,0.42174,1.97E+00
0.42463,5.04E+00,0.42463,1.95E+00
0.42756,5.02E+00,0.42756,1.89E+00
0.43053,4.98E+00,0.43053,1.74E+00
0.43354,4.93E+00,0.43354,1.58E+00
0.43659,4.88E+00,0.43659,1.42E+00
0.43969,4.83E+00,0.43969,1.27E+00
0.44283,4.78E+00,0.44283,1.15E+00
0.44602,4.73E+00,0.44602,1.05E+00
0.44925,4.69E+00,0.44925,9.61E-01
0.45253,4.64E+00,0.45253,8.90E-01
0.45586,4.60E+00,0.45586,8.28E-01
0.45923,4.56E+00,0.45923,7.76E-01
0.46266,4.52E+00,0.46266,7.29E-01
0.46614,4.49E+00,0.46614,6.88E-01
0.46967,4.45E+00,0.46967,6.51E-01
0.47325,4.42E+00,0.47325,6.17E-01
0.47689,4.39E+00,0.47689,5.87E-01
0.48059,4.36E+00,0.48059,5.60E-01
0.48435,4.33E+00,0.48435,5.36E-01
0.48816,4.30E+00,0.48816,5.14E-01
0.49203,4.27E+00,0.49203,4.92E-01
0.49597,4.25E+00,0.49597,4.72E-01
0.49997,4.22E+00,0.49997,4.53E-01
0.50403,4.20E+00,0.50403,4.36E-01
0.50817,4.18E+00,0.50817,4.21E-01
0.51237,4.16E+00,0.51237,4.05E-01
0.51664,4.13E+00,0.51664,3.92E-01
0.52098,4.11E+00,0.52098,3.79E-01
0.52539,4.09E+00,0.52539,3.66E-01
0.52988,4.08E+00,0.52988,3.54E-01
0.53445,4.06E+00,0.53445,3.43E-01
0.5391,4.04E+00,0.5391,3.31E-01
0.54383,4.02E+00,0.54383,3.19E-01
0.54864,4.01E+00,0.54864,3.09E-01
0.55354,3.99E+00,0.55354,2.99E-01
0.55853,3.97E+00,0.55853,2.91E-01
0.5636,3.96E+00,0.5636,2.84E-01
0.56877,3.94E+00,0.56877,2.75E-01
0.57404,3.93E+00,0.57404,2.67E-01
0.5794,3.92E+00,0.5794,2.58E-01
0.58487,3.90E+00,0.58487,2.51E-01
0.59044,3.89E+00,0.59044,2.44E-01
0.59612,3.88E+00,0.59612,2.36E-01
0.60191,3.87E+00,0.60191,2.27E-01
0.60781,3.86E+00,0.60781,2.18E-01
0.61382,3.85E+00,0.61382,2.13E-01
0.61996,3.84E+00,0.61996,2.08E-01
0.62623,3.82E+00,0.62623,2.02E-01
0.63262,3.82E+00,0.63262,1.96E-01
0.63914,3.81E+00,0.63914,1.90E-01
0.64579,3.80E+00,0.64579,1.83E-01
0.65259,3.79E+00,0.65259,1.78E-01
0.65954,3.78E+00,0.65954,1.73E-01
0.66663,3.77E+00,0.66663,1.66E-01
0.67387,3.76E+00,0.67387,1.59E-01
0.68128,3.75E+00,0.68128,1.52E-01
0.68885,3.74E+00,0.68885,1.43E-01
0.69659,3.73E+00,0.69659,1.33E-01
0.7045,3.72E+00,0.7045,1.25E-01
0.7126,3.71E+00,0.7126,1.19E-01
0.72089,3.70E+00,0.72089,1.13E-01
0.72937,3.69E+00,0.72937,1.09E-01
0.73805,3.69E+00,0.73805,1.04E-01
0.74694,3.68E+00,0.74694,1.00E-01
0.75605,3.67E+00,0.75605,9.60E-02
0.76539,3.67E+00,0.76539,9.16E-02
0.77495,3.66E+00,0.77495,8.71E-02
0.78476,3.66E+00,0.78476,8.19E-02
0.79482,3.66E+00,0.79482,7.80E-02
0.80515,3.65E+00,0.80515,7.33E-02
0.81574,3.63E+00,0.81574,6.76E-02
0.82662,3.61E+00,0.82662,6.03E-02
0.83779,3.59E+00,0.83779,5.01E-02
0.84926,3.57E+00,0.84926,2.51E-02
0.86106,3.56E+00,0.86106,1.14E-02
0.87319,3.55E+00,0.87319,6.10E-03
0.88566,3.54E+00,0.88566,4.05E-03
0.8985,3.53E+00,0.8985,2.02E-04
0.91171,3.52E+00,0.91171,9.71E-05
0.92532,3.52E+00,0.92532,6.13E-06
0.93934,3.51E+00,0.93934,0.00E+00
0.95379,3.50E+00,0.95379,0.00E+00
0.96869,3.49E+00,0.96869,0.00E+00
0.98407,3.48E+00,0.98407,0.00E+00
0.99994,3.47E+00,0.99994,0.00E+00
1.01633,3.47E+00,1.01633,0.00E+00
1.03327,3.46E+00,1.03327,0.00E+00
