wl,n,wl,k
0.2066,1.434,0.2066,2.112
0.2101,1.383,0.2101,2.084
0.2138,1.333,0.2138,2.102
0.2175,1.293,0.2175,2.163
0.2214,1.276,0.2214,2.248
0.2254,1.282,0.2254,2.344
0.2296,1.312,0.2296,2.449
0.2339,1.366,0.2339,2.555
0.2384,1.436,0.2384,2.646
0.2431,1.484,0.2431,2.732
0.248,1.524,0.248,2.871
0.253,1.608,0.253,3.081
0.2583,1.803,0.2583,3.349
0.2638,2.205,0.2638,3.575
0.2695,2.705,0.2695,3.581
0.2755,3.194,0.2755,3.445
0.2818,3.644,0.2818,3.042
0.2883,3.761,0.2883,2.478
0.2952,3.615,0.2952,2.099
0.3024,3.449,0.3024,1.903
0.31,3.313,0.31,1.799
0.3179,3.208,0.3179,1.743
0.3263,3.129,0.3263,1.719
0.3351,3.069,0.3351,1.715
0.3444,3.03,0.3444,1.728
0.3542,3.008,0.3542,1.754
0.3647,3.004,0.3647,1.79
0.3757,3.018,0.3757,1.836
0.3875,3.051,0.3875,1.891
0.3999,3.108,0.3999,1.957
0.4133,3.197,0.4133,2.034
0.4275,3.337,0.4275,2.129
0.4428,3.626,0.4428,2.208
0.4592,3.911,0.4592,2.016
0.4769,4.021,0.4769,1.885
0.4959,4.364,0.4959,1.786
0.5166,4.466,0.5166,1.283
0.5391,4.331,0.5391,0.991
0.5636,4.199,0.5636,0.822
0.5904,4.088,0.5904,0.712
0.6199,3.995,0.6199,0.634
0.6525,3.917,0.6525,0.572
0.6888,3.851,0.6888,0.53
0.7293,3.798,0.7293,0.493
0.7749,3.755,0.7749,0.463
0.8266,3.714,0.8266,0.432
