wl,n,wl,k
0.017586,0.8953,0.017586,0.0592
0.017712,0.8936,0.017712,0.0599
0.017839,0.8926,0.017839,0.0605
0.017969,0.891,0.017969,0.0617
0.0181,0.8893,0.0181,0.0624
0.018233,0.8883,0.018233,0.0636
0.018368,0.8866,0.018368,0.0643
0.018505,0.885,0.018505,0.065
0.018644,0.8834,0.018644,0.0662
0.018785,0.8812,0.018785,0.067
0.018929,0.8796,0.018929,0.0682
0.019074,0.8774,0.019074,0.069
0.019222,0.8757,0.019222,0.0702
0.019373,0.8735,0.019373,0.071
0.019525,0.8713,0.019525,0.0723
0.01968,0.8686,0.01968,0.0737
0.019837,0.8664,0.019837,0.075
0.019997,0.8636,0.019997,0.0764
0.02016,0.8608,0.02016,0.0778
0.020325,0.8581,0.020325,0.0792
0.020493,0.8547,0.020493,0.0807
0.020664,0.8513,0.020664,0.0822
0.020838,0.848,0.020838,0.0843
0.021014,0.8447,0.021014,0.0864
0.021194,0.8407,0.021194,0.0886
0.021377,0.8368,0.021377,0.0908
0.021562,0.8323,0.021562,0.0937
0.021752,0.8278,0.021752,0.096
0.021944,0.8228,0.021944,0.0997
0.02214,0.8177,0.02214,0.1033
0.022339,0.8127,0.022339,0.1071
0.022543,0.8065,0.022543,0.1116
0.022749,0.801,0.022749,0.1167
0.02296,0.7943,0.02296,0.1221
0.023175,0.7878,0.023175,0.1288
0.023393,0.7814,0.023393,0.1363
0.023616,0.7739,0.023616,0.1447
0.023843,0.7667,0.023843,0.1546
0.024075,0.7601,0.024075,0.1664
0.024311,0.7537,0.024311,0.1791
0.024551,0.7476,0.024551,0.1946
0.024797,0.7429,0.024797,0.212
0.025047,0.7399,0.025047,0.2311
0.025303,0.7396,0.025303,0.2529
0.025564,0.7427,0.025564,0.2767
0.02583,0.7502,0.02583,0.3013
0.026102,0.7635,0.026102,0.3255
0.02638,0.7825,0.02638,0.3483
0.026663,0.8069,0.026663,0.3662
0.026953,0.8355,0.026953,0.3782
0.027249,0.8656,0.027249,0.3824
0.027552,0.8945,0.027552,0.3784
0.027862,0.9196,0.027862,0.367
0.028178,0.9383,0.028178,0.3512
0.028502,0.9499,0.028502,0.3321
0.028834,0.9542,0.028834,0.3139
0.029173,0.9528,0.029173,0.2981
0.02952,0.9458,0.02952,0.2855
0.029876,0.936,0.029876,0.2778
0.03024,0.9235,0.03024,0.2756
0.030613,0.9106,0.030613,0.2795
0.030996,0.8989,0.030996,0.2898
0.031388,0.8902,0.031388,0.3072
0.031791,0.8887,0.031791,0.3314
0.032204,0.8978,0.032204,0.3592
0.032627,0.9209,0.032627,0.386
0.033062,0.9576,0.033062,0.4036
0.033509,1.0026,0.033509,0.404
0.033968,1.0454,0.033968,0.3845
0.03444,1.0752,0.03444,0.3506
0.034925,1.0893,0.034925,0.3108
0.035424,1.0892,0.035424,0.2727
0.035937,1.0794,0.035937,0.2409
0.036466,1.064,0.036466,0.2148
0.03701,1.046,0.03701,0.195
0.037571,1.0264,0.037571,0.1802
0.038149,1.0063,0.038149,0.1694
0.038745,0.986,0.038745,0.1618
0.03936,0.9652,0.03936,0.157
0.039995,0.9448,0.039995,0.154
0.040651,0.9244,0.040651,0.1536
0.041328,0.9033,0.041328,0.155
0.042029,0.8826,0.042029,0.1581
0.042753,0.8607,0.042753,0.1638
0.043503,0.8394,0.043503,0.1721
0.04428,0.8177,0.04428,0.1834
0.045085,0.7965,0.045085,0.1984
0.04592,0.7781,0.04592,0.2178
0.046786,0.766,0.046786,0.2402
0.047686,0.7612,0.047686,0.2614
0.048621,0.7618,0.048621,0.2744
0.049594,0.7589,0.049594,0.2774
0.050606,0.745,0.050606,0.2758
0.05166,0.7213,0.05166,0.278
0.052759,0.6913,0.052759,0.2879
0.053906,0.6588,0.053906,0.3051
0.055104,0.6253,0.055104,0.3302
0.056356,0.5933,0.056356,0.3633
0.057667,0.5632,0.057667,0.404
0.05904,0.5362,0.05904,0.4522
0.06048,0.5163,0.06048,0.5085
0.061992,0.5043,0.061992,0.5721
0.063582,0.5047,0.063582,0.6409
0.065255,0.5256,0.065255,0.7115
0.067018,0.5701,0.067018,0.7596
0.06888,0.5974,0.06888,0.77
0.070848,0.5887,0.070848,0.7916
0.072932,0.5813,0.072932,0.8396
0.075142,0.5868,0.075142,0.8963
0.07749,0.6039,0.07749,0.9538
