wl,n,wl,k
0.017586,0.8888,0.017586,0.0703
0.017712,0.8872,0.017712,0.071
0.017839,0.8855,0.017839,0.0717
0.017969,0.8839,0.017969,0.0724
0.0181,0.8817,0.0181,0.0732
0.018233,0.8795,0.018233,0.0739
0.018368,0.8773,0.018368,0.0747
0.018505,0.875,0.018505,0.0754
0.018644,0.8728,0.018644,0.0762
0.018785,0.87,0.018785,0.077
0.018929,0.8672,0.018929,0.0778
0.019074,0.8645,0.019074,0.0792
0.019222,0.8616,0.019222,0.0801
0.019373,0.8583,0.019373,0.0816
0.019525,0.8549,0.019525,0.083
0.01968,0.851,0.01968,0.0846
0.019837,0.8476,0.019837,0.0861
0.019997,0.8431,0.019997,0.0884
0.02016,0.8392,0.02016,0.0906
0.020325,0.8346,0.020325,0.0929
0.020493,0.8302,0.020493,0.0958
0.020664,0.8251,0.020664,0.0988
0.020838,0.82,0.020838,0.1018
0.021014,0.8144,0.021014,0.1062
0.021194,0.8089,0.021194,0.1107
0.021377,0.8027,0.021377,0.1152
0.021562,0.7967,0.021562,0.1211
0.021752,0.7902,0.021752,0.1278
0.021944,0.7838,0.021944,0.1352
0.02214,0.7777,0.02214,0.144
0.022339,0.7711,0.022339,0.1537
0.022543,0.7649,0.022543,0.1647
0.022749,0.7593,0.022749,0.1778
0.02296,0.7549,0.02296,0.1921
0.023175,0.7519,0.023175,0.2081
0.023393,0.7504,0.023393,0.2259
0.023616,0.7518,0.023616,0.2454
0.023843,0.7559,0.023843,0.2653
0.024075,0.7641,0.024075,0.286
0.024311,0.7768,0.024311,0.3057
0.024551,0.7936,0.024551,0.3238
0.024797,0.8143,0.024797,0.3377
0.025047,0.8382,0.025047,0.3472
0.025303,0.863,0.025303,0.3505
0.025564,0.8876,0.025564,0.3476
0.02583,0.9093,0.02583,0.3387
0.026102,0.9269,0.026102,0.3258
0.02638,0.939,0.02638,0.3094
0.026663,0.9456,0.026663,0.2919
0.026953,0.9466,0.026953,0.2741
0.027249,0.9426,0.027249,0.2578
0.027552,0.9341,0.027552,0.2441
0.027862,0.9216,0.027862,0.2333
0.028178,0.905,0.028178,0.226
0.028502,0.8849,0.028502,0.2238
0.028834,0.8606,0.028834,0.2272
0.029173,0.8308,0.029173,0.2413
0.02952,0.7974,0.02952,0.2753
0.029876,0.7825,0.029876,0.3553
0.03024,0.8851,0.03024,0.4067
0.030613,0.8906,0.030613,0.3481
0.030996,0.8626,0.030996,0.3756
0.031388,0.8786,0.031388,0.4348
0.031791,0.946,0.031791,0.4826
0.032204,1.0426,0.032204,0.4796
0.032627,1.12,0.032627,0.4201
0.033062,1.1497,0.033062,0.3388
0.033509,1.1425,0.033509,0.2687
0.033968,1.1187,0.033968,0.2181
0.03444,1.0893,0.03444,0.1831
0.034925,1.0595,0.034925,0.1595
0.035424,1.0308,0.035424,0.1431
0.035937,1.0042,0.035937,0.1319
0.036466,0.9785,0.036466,0.1247
0.03701,0.9541,0.03701,0.12
0.037571,0.9309,0.037571,0.1166
0.038149,0.908,0.038149,0.1156
0.038745,0.8851,0.038745,0.1158
0.03936,0.8624,0.03936,0.1171
0.039995,0.8392,0.039995,0.1197
0.040651,0.8156,0.040651,0.1232
0.041328,0.7915,0.041328,0.1282
0.042029,0.7668,0.042029,0.1343
0.042753,0.7411,0.042753,0.1424
0.043503,0.7135,0.043503,0.1521
0.04428,0.6847,0.04428,0.1636
0.045085,0.6549,0.045085,0.1786
0.04592,0.6224,0.04592,0.196
0.046786,0.5888,0.046786,0.2183
0.047686,0.5543,0.047686,0.2454
0.048621,0.5188,0.048621,0.2795
0.049594,0.4835,0.049594,0.3206
0.050606,0.4514,0.050606,0.3711
0.05166,0.4237,0.05166,0.4342
0.052759,0.4085,0.052759,0.5166
0.053906,0.469,0.053906,0.6205
0.055104,0.4956,0.055104,0.5519
0.056356,0.4407,0.056356,0.6002
0.057667,0.4274,0.057667,0.6668
0.05904,0.4292,0.05904,0.7316
0.06048,0.4404,0.06048,0.7937
0.061992,0.4583,0.061992,0.8532
0.063582,0.4818,0.063582,0.91
0.065255,0.5114,0.065255,0.9631
0.067018,0.545,0.067018,1.011
0.06888,0.5821,0.06888,1.053
0.070848,0.6207,0.070848,1.0883
0.072932,0.6572,0.072932,1.1162
0.075142,0.6886,0.075142,1.1385
0.07749,0.7131,0.07749,1.1583
0.07999,0.7289,0.07999,1.1799
0.082656,0.7387,0.082656,1.2082
0.085506,0.7458,0.085506,1.2463
0.08856,0.7562,0.08856,1.2946
0.09184,0.7754,0.09184,1.351
0.095372,0.8063,0.095372,1.4107
0.099187,0.8504,0.099187,1.467
0.10332,0.9046,0.10332,1.5117
0.107812,0.9614,0.107812,1.5389
0.112713,1.0076,0.112713,1.5457
0.11808,1.0289,0.11808,1.539
0.123984,1.0131,0.123984,1.5354
0.13051,0.9608,0.13051,1.5586
0.13776,0.8875,0.13776,1.6315
0.145864,0.823,0.145864,1.7636
0.15498,0.8007,0.15498,1.942
0.165312,0.8355,0.165312,2.1227
0.17712,0.8786,0.17712,2.2554
0.190745,0.8254,0.190745,2.4032
0.20664,0.7426,0.20664,2.7449
0.225426,0.9161,0.225426,3.3025
0.247968,1.6094,0.247968,3.3279
0.261019,1.4049,0.261019,3.077
0.27552,1.079,0.27552,3.3609
0.291728,1.1181,0.291728,3.9383
0.30996,1.8008,0.30996,4.3314
0.330625,2.0193,0.330625,3.578
0.354241,1.327,0.354241,3.806
0.38149,1.2611,0.38149,4.516
0.413281,1.6556,0.413281,5.1025
0.450852,2.2457,0.450852,5.1471
0.495937,2.0777,0.495937,4.782
0.551041,1.3296,0.551041,5.2379
0.619921,0.933,0.619921,6.3712
0.708481,0.8969,0.708481,7.8089
0.826561,1.1957,0.826561,9.6069
0.991874,2.1933,0.991874,11.8617
1.239842,4.3505,1.239842,13.142
1.653123,2.4636,1.653123,14.8056
2.479684,1.2049,2.479684,24.3542
